Date,Point72,AGTGlobalGrowth,AURIGIN,AVM,Fasanara,FENGHE,GBAF,KOVA,Abans,Peregrine,QIO,RV Capital Asia Opportunity Enhanced Return,RV Capital Credit Opportunities Fund,Pimco Income Fund,ARGA,Allianz Income and Growth,Fidelity Global Technology
30/6/20 0:00,0.00708,0.195,0.04319722,-0.0279,0.01,0.06822,0.01965,-0.0279,0.0076,0.0411,0.0067,0.035,0.017,0.0172,0.0602,0.0213,0.0741
29/5/20 0:00,0.01174,0.118,0.04599131,0.0126,0.015,0.02879,0.03607,0.0126,0.0078,-0.0147,0.0079,0.053,0.025,0.0251,-0.0153,0.056,0.0485
30/4/20 0:00,0.02263,0.159,0.03541367,0.0314,0.024,0.01424,-0.03651,0.0314,0.0072,0.1387,0.0083,0.07,0.024,0.0314,0.0945,0.0872,0.1245
31/3/20 0:00,-0.02422,-0.078,-0.1079167,0.0298,0.018,-0.07799,-0.0117,0.0298,0.0077,0.3683,0.0067,-0.124,-0.055,-0.0815,-0.1798,-0.104,-0.0818
28/2/20 0:00,0.00747,0.072,-0.0053167,0.0133,0.009,-0.02211,0.00811,0.0133,0.0086,-0.1847,0.0077,0.049,0.022,-0.007,-0.0772,-0.0582,-0.0736
31/1/20 0:00,0.00598,0.016,0.00896958,0.0063,0.008,0.00433,0.01477,0.0063,0.0068,-0.0367,0.0086,-0.003,0.0,0.0045,-0.0636,0.0118,0.0117
31/12/19 0:00,0.01452,0.087,-0.0020167,0.0112,0.005,0.02567,0.01275,0.0112,0.0081,0.0355,0.0068,0.013,0.006,0.0136,0.0757,0.0197,0.0431
29/11/19 0:00,0.0105,0.082,0.01276156,0.0037,0.003,0.02109,0.01068,0.0037,0.008,-0.0037,0.0081,0.002,0.001,0.0039,0.0141,0.0258,0.0442
31/10/19 0:00,0.0148,0.055,0.0224,0.0054,0.002,0.00416,0.01261,0.0054,0.0067,0.0531,0.008,0.009,0.006,0.0059,0.048,0.0165,0.0374
30/9/19 0:00,-0.02821,0.067,0.0315219,-0.0123,0.004,0.00949,-0.00238,-0.0123,0.0072,0.0779,0.0067,0.001,0.0,0.0073,0.0252,-0.0023,0.0485
30/8/19 0:00,0.02018,0.021,-0.0008167,0.0442,-0.003,0.01997,0.00716,0.0442,0.0072,0.0227,0.0071,-0.013,-0.002,-0.0085,-0.0702,-0.0184,-0.0406
31/7/19 0:00,0.01364,0.074,-0.0181,0.0113,0.0075,-0.00829,0.02502,0.0113,0.007,0.0307,0.0072,0.023,0.008,0.0026,-0.0201,0.0164,0.0354
28/6/19 0:00,0.00028,0.088,0.00807148,0.011,0.00775,-0.0104,-0.01724,0.011,0.0073,0.0339,0.007,0.031,0.013,0.014,0.0582,0.0438,0.0798
31/5/19 0:00,0.00966,0.041,0.01745165,0.0124,0.00763,-0.02151,0.0118,0.0124,0.0083,-0.0647,0.0073,-0.041,-0.014,0.0047,-0.0467,-0.0452,-0.104
30/4/19 0:00,0.02884,0.111,0.00537717,-0.0005,0.00756,-0.01877,0.0191,-0.0005,0.0083,0.0771,0.0083,0.012,0.003,0.0088,0.0086,0.0291,0.0735
29/3/19 0:00,0.01387,0.09,0.01735186,0.0129,0.00753,0.01919,0.011,0.0129,0.0056,-0.0047,0.0056,0.037,0.016,0.0082,0.0059,0.007,0.0192
